County,Population,deaths2018,fips
"Latimer County, OK",10231,100.7474194,40077
"Le Flore County, OK",49980,519.8466448,40079
"Lincoln County, OK",34920,319.430118,40081
"Logan County, OK",47291,329.1174583,40083
"Love County, OK",10134,94.6265628,40085
"McClain County, OK",39985,369.1277918,40087
"McCurtain County, OK",32703,342.5013533,40089
"McIntosh County, OK",19815,194.0293387,40091
"Major County, OK",7644,76.23086016,40093
"Marshall County, OK",16806,136.3225412,40095
"Mayes County, OK",41107,395.2657287,40097
"Murray County, OK",13953,139.8147807,40099
"Muskogee County, OK",68362,749.7905422,40101
"Noble County, OK",11289,106.5751592,40103
"Nowata County, OK",10218,96.65063148,40105
"Okfuskee County, OK",12098,144.1052463,40107
"Oklahoma County, OK",792582,7108.010115,40109
"Okmulgee County, OK",38335,401.235961,40111
"Osage County, OK",47014,338.5514184,40113
"Ottawa County, OK",31175,340.7496085,40115
"Pawnee County, OK",16390,154.3557752,40117
"Payne County, OK",82040,642.7708205,40119
"Pittsburg County, OK",43877,453.7592607,40121
"Pontotoc County, OK",38247,369.3928407,40123
"Pottawatomie County, OK",72679,757.4048174,40125
"Pushmataha County, OK",11179,99.59140067,40127
"Roger Mills County, OK",3656,26.22841211,40129
"Rogers County, OK",91984,787.3686292,40131
"Seminole County, OK",24578,266.3117239,40133
"Sequoyah County, OK",41179,428.7335113,40135
"Stephens County, OK",43265,402.6197635,40137
"Texas County, OK",20455,201.383566,40139
"Tillman County, OK",7348,68.27484825,40141
"Tulsa County, OK",648360,5560.037114,40143
"Wagoner County, OK",80110,575.6725963,40145
"Washington County, OK",51843,449.686182,40147
"Washita County, OK",11127,111.9442591,40149
"Woods County, OK",8897,73.15065949,40151
"Woodward County, OK",20222,182.4571742,40153
"Baker County, OR",16006,119.4716117,41001
"Benton County, OR",92101,522.9939935,41003
"Clackamas County, OR",416075,2734.497603,41005
"Clatsop County, OR",39764,300.4077417,41007
"Columbia County, OR",52377,379.8308458,41009
"Coos County, OR",64389,561.277196,41011
"Crook County, OR",23867,180.8846516,41013
"Curry County, OR",22813,177.3723677,41015
"Deschutes County, OR",191996,1207.382206,41017
"Douglas County, OR",110283,897.5367251,41019
"Gilliam County, OR",1894,11.90159296,41021
"Grant County, OR",7176,49.72410664,41023
"Harney County, OR",7329,55.52909684,41025
"Hood River County, OR",23428,155.9497315,41027
"Jackson County, OR",219564,1607.448537,41029
"Jefferson County, OR",24192,178.896695,41031
"Josephine County, OR",87393,742.6692097,41033
"Klamath County, OR",67653,609.9098358,41035
"Lake County, OR",7879,60.63213539,41037
"Lane County, OR",379611,2758.342102,41039
"Lincoln County, OR",49388,380.0612383,41041
"Linn County, OR",127335,1029.014933,41043
"Malheur County, OR",30725,248.5232592,41045
"Marion County, OR",346868,2519.904678,41047
"Morrow County, OR",11372,72.26856721,41049
"Multnomah County, OR",811880,5784.171403,41051
"Polk County, OR",85234,563.3583847,41053
"Sherman County, OR",1708,NA,41055
"Tillamook County, OR",26787,195.5973347,41057
"Umatilla County, OR",77516,602.4073256,41059
"Union County, OR",26461,191.1684647,41061
"Wallowa County, OR",7081,45.75088388,41063
"Wasco County, OR",26505,227.2702148,41065
"Washington County, OR",597695,3452.722637,41067
"Wheeler County, OR",1366,NA,41069
"Yamhill County, OR",107002,779.2980627,41071
"Adams County, PA",102811,744.4852943,42001
"Allegheny County, PA",1218452,9598.258154,42003
"Armstrong County, PA",65263,561.2535334,42005
"Beaver County, PA",164742,1388.071612,42007
"Bedford County, PA",48176,363.5307966,42009
"Berks County, PA",420152,3064.895399,42011
"Blair County, PA",122492,1048.381263,42013
"Bradford County, PA",60833,466.7963478,42015
"Bucks County, PA",628195,4422.212206,42017
"Butler County, PA",187888,1437.484742,42019
"Cambria County, PA",131730,1167.471615,42021
"Cameron County, PA",4492,34.34361595,42023
"Carbon County, PA",64227,561.5837608,42025
"Centre County, PA",162805,924.5343206,42027
"Chester County, PA",522046,3287.395008,42029
"Clarion County, PA",38779,304.5740146,42031
"Clearfield County, PA",79388,642.9231887,42033
"Clinton County, PA",38684,301.6040612,42035
"Columbia County, PA",65456,508.2080205,42037
"Crawford County, PA",85063,718.3808526,42039
"Cumberland County, PA",251423,1772.88498,42041
"Dauphin County, PA",277097,2077.056303,42043
"Delaware County, PA",564751,4263.339184,42045
"Elk County, PA",30169,240.2437921,42047
"Erie County, PA",272061,2211.856837,42049
"Fayette County, PA",130441,1222.838721,42051
"Forest County, PA",7279,57.94025768,42053
"Franklin County, PA",154835,1136.154973,42055
"Fulton County, PA",14523,110.988542,42057
"Greene County, PA",36506,336.7178368,42059
"Huntingdon County, PA",45168,346.622996,42061
"Indiana County, PA",84501,676.6304907,42063
"Jefferson County, PA",43641,362.3215471,42065
"Juniata County, PA",24704,168.4877854,42067
"Lackawanna County, PA",210793,1818.365764,42069
"Lancaster County, PA",543557,3714.969306,42071
"Lawrence County, PA",86184,752.5305346,42073
"Lebanon County, PA",141314,1055.395601,42075
"Lehigh County, PA",368100,2653.305291,42077
"Luzerne County, PA",317646,2750.15895,42079
"Lycoming County, PA",113664,890.216448,42081
"Mc Kean County, PA",40968,356.9353387,42083
"Mercer County, PA",110683,933.6225422,42085
"Mifflin County, PA",46222,356.7307649,42087
"Monroe County, PA",169507,1266.347245,42089
"Montgomery County, PA",828604,5435.169936,42091
"Montour County, PA",18240,141.4539968,42093
"Northampton County, PA",304807,2126.739025,42095
"Northumberland County, PA",91083,750.9289357,42097
"Perry County, PA",46139,381.3837436,42099
"Philadelphia County, PA",1584138,13697.89343,42101
"Pike County, PA",55933,373.0938052,42103
"Potter County, PA",16622,131.0173743,42105
"Schuylkill County, PA",142067,1313.238461,42107
"Snyder County, PA",40540,259.2720835,42109
"Somerset County, PA",73952,595.2472897,42111
"Sullivan County, PA",6071,49.79535383,42113
"Susquehanna County, PA",40589,320.1875442,42115
"Tioga County, PA",40763,308.466801,42117
"Union County, PA",44785,265.1734778,42119
"Venango County, PA",51266,403.6730979,42121
"Warren County, PA",39498,308.2235646,42123
"Washington County, PA",207346,1736.837916,42125
"Wayne County, PA",51276,405.8215091,42127
"Westmoreland County, PA",350611,2823.493757,42129
"Wyoming County, PA",27046,240.7101212,42131
"York County, PA",448273,3312.411725,42133
"Bristol County, RI",48649,318.1534329,44001
"Kent County, RI",163861,1198.197513,44003
"Newport County, RI",82542,514.9847657,44005
"Providence County, RI",636084,4599.975024,44007
"Washington County, RI",126179,800.0922065,44009
"Abbeville County, SC",24541,218.5155999,45001
"Aiken County, SC",169401,1405.400952,45003
"Allendale County, SC",8903,95.84625551,45005
"Anderson County, SC",200482,1817.226988,45007
"Bamberg County, SC",14275,141.5928685,45009
"Barnwell County, SC",21112,212.661176,45011
"Beaufort County, SC",188715,1040.619802,45013
"Berkeley County, SC",221091,1650.913765,45015
"Calhoun County, SC",14520,123.3010812,45017
"Charleston County, SC",405905,2916.25018,45019
"Cherokee County, SC",57078,565.971559,45021
"Chester County, SC",32251,331.0676953,45023
"Chesterfield County, SC",45754,439.4633572,45025
"Clarendon County, SC",33700,291.4711877,45027
"Colleton County, SC",37660,420.6387253,45029
"Darlington County, SC",66802,689.2443314,45031
"Dillon County, SC",30599,318.903594,45033
"Dorchester County, SC",160647,1284.950559,45035
"Edgefield County, SC",27052,186.1659126,45037
"Fairfield County, SC",22402,218.0998981,45039
"Florence County, SC",138159,1334.297253,45041
"Georgetown County, SC",62249,525.2995988,45043
"Greenville County, SC",514213,4054.106713,45045
"Greenwood County, SC",70741,612.9568526,45047
"Hampton County, SC",19351,191.6894579,45049
"Horry County, SC",344147,2817.107041,45051
"Jasper County, SC",28971,210.1982214,45053
"Kershaw County, SC",65592,547.9837726,45055
"Lancaster County, SC",95380,718.2870681,45057
"Laurens County, SC",66994,667.0342469,45059
"Lee County, SC",17142,201.9504734,45061
"Lexington County, SC",295032,2330.81279,45063
"McCormick County, SC",9410,83.4980353,45065
"Marion County, SC",31039,330.4307442,45067
"Marlboro County, SC",26398,282.1893404,45069
"Newberry County, SC",38520,319.302552,45071
"Oconee County, SC",78374,660.674794,45073
"Orangeburg County, SC",86934,828.8333925,45075
"Pickens County, SC",124937,1060.196641,45077
"Richland County, SC",414576,3363.057095,45079
"Saluda County, SC",20544,152.7235482,45081
"Spartanburg County, SC",313888,2823.439301,45083
"Sumter County, SC",106512,992.8839166,45085
"Union County, SC",27410,285.0506605,45087
"Williamsburg County, SC",30606,311.3199472,45089
"York County, SC",274118,2190.849738,45091
"Aurora County, SD",2801,17.54258831,46003
"Beadle County, SD",18883,138.0088603,46005
"Bennett County, SD",3468,43.80757948,46007
"Bon Homme County, SD",6980,46.15757667,46009
"Brookings County, SD",35232,216.2618845,46011
"Brown County, SD",39316,265.1046427,46013
"Brule County, SD",5229,33.20896068,46015
"Buffalo County, SD",2036,37.54523805,46017
"Butte County, SD",10222,76.50897821,46019
"Campbell County, SD",1377,NA,46021
"Charles Mix County, SD",9338,82.07454565,46023
"Clark County, SD",3739,26.35481511,46025
"Clay County, SD",14041,112.9261466,46027
"Codington County, SD",28015,177.4724103,46029
"Corson County, SD",4165,59.66573527,46031
"Custer County, SD",8726,59.10809154,46033
"Davison County, SD",19790,147.6080028,46035
"Day County, SD",5505,45.3613835,46037
"Deuel County, SD",4337,29.30980742,46039
"Dewey County, SD",5904,71.21999136,46041
"Douglas County, SD",2935,16.46726753,46043
"Edmunds County, SD",3875,25.05496208,46045
"Fall River County, SD",6758,63.75873395,46047
"Faulk County, SD",2330,15.791109,46049
"Grant County, SD",7147,52.83224399,46051
"Gregory County, SD",4212,30.92173812,46053
"Haakon County, SD",1918,13.49231805,46055
"Hamlin County, SD",6111,47.21737482,46057
"Hand County, SD",3262,20.69042019,46059
"Hanson County, SD",3376,NA,46061
"Hughes County, SD",17650,120.273807,46065
"Hutchinson County, SD",7380,51.9112152,46067
"Hyde County, SD",1282,NA,46069
"Jackson County, SD",3307,34.02696864,46071
"Jerauld County, SD",2043,13.4874774,46073
"Kingsbury County, SD",4919,35.31356659,46077
"Lake County, SD",13057,92.06151218,46079
"Lawrence County, SD",25741,174.8554383,46081
"Lincoln County, SD",58807,294.2802252,46083
"Lyman County, SD",3821,35.99246991,46085
"McCook County, SD",5546,44.51866633,46087
"McPherson County, SD",2407,14.49738507,46089
"Marshall County, SD",5112,32.64777096,46091
"Meade County, SD",28294,198.6024709,46093
"Mellette County, SD",2042,29.76507006,46095
"Miner County, SD",2213,19.08375386,46097
"Minnehaha County, SD",192876,1430.77217,46099
"Moody County, SD",6579,42.5483667,46101
"Pennington County, SD",111729,758.9821732,46103
"Perkins County, SD",2922,20.4840479,46105
"Potter County, SD",2207,14.58806401,46107
"Roberts County, SD",10447,87.57013186,46109
"Sanborn County, SD",2429,17.53355028,46111
"Shannon County, SD",14309,230.9786921,46113
"Spink County, SD",6495,48.7518597,46115
"Stanley County, SD",3022,NA,46117
"Todd County, SD",10283,139.6886937,46121
"Tripp County, SD",5478,43.07901026,46123
"Turner County, SD",8424,67.91406336,46125
"Union County, SD",15619,100.2208754,46127
"Walworth County, SD",5587,43.96980174,46129
"Yankton County, SD",22869,166.429986,46135
